Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1523541600,2018-04-12 02-PM,BTCUSD,7692.51,7718.94,7600,7649.99,125.54,962254.94
1523538000,2018-04-12 01-PM,BTCUSD,7685.19,7724.64,7639.98,7692.51,208.86,1605295.62
1523534400,2018-04-12 12-PM,BTCUSD,7723.95,7774.63,7605.98,7685.19,419.06,3224819.24
1523530800,2018-04-12 11-AM,BTCUSD,6936.12,8045.53,6933,7723.95,1324.18,10026569.8
1523527200,2018-04-12 10-AM,BTCUSD,6850,6950,6843.46,6936.12,49.58,342860.76
1523523600,2018-04-12 09-AM,BTCUSD,6837.76,6850,6821.31,6850,26.34,180047.81
1523520000,2018-04-12 08-AM,BTCUSD,6830.38,6839.81,6821.38,6837.76,108.76,742313.51
1523516400,2018-04-12 07-AM,BTCUSD,6790.42,6844.44,6764.43,6830.38,151.7,1031973.02
1523512800,2018-04-12 06-AM,BTCUSD,6940.88,6944.11,6787.68,6790.42,129.63,891135.43
1523509200,2018-04-12 05-AM,BTCUSD,6950,6950,6925.72,6940.88,103.92,721032.34
1523505600,2018-04-12 04-AM,BTCUSD,6938.92,6950,6932.2,6950,74.31,516273.99
1523502000,2018-04-12 03-AM,BTCUSD,6925,6939.95,6924.47,6938.92,76.13,527743.47
1523498400,2018-04-12 02-AM,BTCUSD,6924.99,6925,6920.4,6925,96.59,668856.08
1523494800,2018-04-12 01-AM,BTCUSD,6919.5,6924.99,6898,6924.99,37.13,256622.04
1523491200,2018-04-12 12-AM,BTCUSD,6937.54,6947.38,6919.5,6919.5,45.18,313151.69
1523487600,2018-04-11 11-PM,BTCUSD,6916,6958.21,6916,6937.54,161.53,1118315.16
1523484000,2018-04-11 10-PM,BTCUSD,6896.42,6916,6896.42,6916,35.31,244135.39
1523480400,2018-04-11 09-PM,BTCUSD,6892.03,6896.42,6883.3,6896.42,25.8,177790.2
1523476800,2018-04-11 08-PM,BTCUSD,6908.82,6912.74,6889.17,6892.03,34.17,235698.29
1523473200,2018-04-11 07-PM,BTCUSD,6901.01,6908.82,6898.65,6908.82,30.44,210167.73
1523469600,2018-04-11 06-PM,BTCUSD,6901.93,6908.63,6896.94,6901.01,25.52,176160.48
1523466000,2018-04-11 05-PM,BTCUSD,6926.98,6927.03,6878.82,6901.93,24.73,170575.45
1523462400,2018-04-11 04-PM,BTCUSD,6936.92,6937.72,6912.04,6926.98,31.29,216672.15
